name,variant,category,x,y,cluster
Roboto 100,100,sans-serif,-0.41649592,11.880234,0
Roboto 100italic,100italic,sans-serif,1.2212704,10.387118,0
Roboto 300,300,sans-serif,-1.7063755,11.012601,0
Roboto 300italic,300italic,sans-serif,1.651889,9.827351,0
Roboto regular,regular,sans-serif,-3.780944,10.565602,0
Roboto italic,italic,sans-serif,2.7995274,9.434177,1
Roboto 500,500,sans-serif,-4.4797606,8.286687,5
Roboto 500italic,500italic,sans-serif,3.5277004,9.570823,1
Roboto 700,700,sans-serif,-4.0612793,7.5003347,5
Roboto 700italic,700italic,sans-serif,3.8893702,9.774478,1
Roboto 900,900,sans-serif,-3.9292638,7.2764487,5
Roboto 900italic,900italic,sans-serif,4.020803,9.772924,1
Open Sans 300,300,sans-serif,-1.4129466,11.338493,0
Open Sans 300italic,300italic,sans-serif,1.5281609,10.010372,0
Open Sans regular,regular,sans-serif,-2.766616,9.997297,0
Open Sans italic,italic,sans-serif,2.524361,9.468921,2
Open Sans 600,600,sans-serif,-3.3927598,9.113798,5
Open Sans 600italic,600italic,sans-serif,3.2840443,9.616719,1
Open Sans 700,700,sans-serif,-3.7650702,8.120428,5
Open Sans 700italic,700italic,sans-serif,3.6748528,9.663074,1
Open Sans 800,800,sans-serif,-4.3331137,7.3551197,5
Open Sans 800italic,800italic,sans-serif,3.9169984,9.690959,1
Lato 100,100,sans-serif,-0.32630283,11.934098,0
Lato 100italic,100italic,sans-serif,1.1898991,10.470261,0
Lato 300,300,sans-serif,-1.4409833,11.385062,0
Lato 300italic,300italic,sans-serif,1.5873922,10.03111,0
Lato regular,regular,sans-serif,-2.8377786,9.372946,0
Lato italic,italic,sans-serif,2.846925,9.816431,2
Lato 700,700,sans-serif,-3.3395777,8.033868,5
Lato 700italic,700italic,sans-serif,3.554852,9.826559,1
Lato 900,900,sans-serif,-3.6305587,7.5327773,5
Lato 900italic,900italic,sans-serif,3.767823,9.799889,1
Slabo 27px regular,regular,serif,-2.9669707,-0.49658135,3
Roboto Condensed 300,300,sans-serif,-2.234042,10.676195,0
Roboto Condensed 300italic,300italic,sans-serif,2.2242167,9.807456,2
Roboto Condensed regular,regular,sans-serif,-2.660094,7.5529113,5
Roboto Condensed italic,italic,sans-serif,3.7790005,10.12545,1
